,entity,meaning
3941,bubble," rise in bubbles or as if in bubbles; ""bubble to the surface"""
3942,bubble," form, produce, or emit bubbles; ""The soup was bubbling"""
3943,bubble," a hollow globule of gas (e.g., air or carbon dioxide)"
3944,liquify," make (a solid substance) liquid, as by heating; ""liquefy the silver"""
3945,liquify," become liquid or fluid when heated; ""the frozen fat liquefied"""
3946,refine," reduce to a fine, unmixed, or pure state; separate from extraneous matter or cleanse from impurities; ""refine sugar"""
3947,refine," make more precise or increase the discriminatory powers of; ""refine a method of analysis""; ""refine the constant in the equation"""
3948,refine," make more complex, intricate, or richer; ""refine a design or pattern"""
3949,refine," improve or perfect by pruning or polishing; ""refine one's style of writing"""
3950,refine," treat or prepare so as to put in a usable condition; ""refine paper stock""; ""refine pig iron""; ""refine oil"""
3951,water vole, of western North America
3952,water vole, common large Eurasian vole
3953,ground," connect to a ground; ""ground the electrical connections for safety reasons"""
3954,ground," hit a groundball; ""he grounded to the second baseman"""
3955,ground," use as a basis for; found on; ""base a claim on some observation"""
3956,ground," confine or restrict to the ground; ""After the accident, they grounded the plane and the pilot"""
3957,ground, throw to the ground in order to stop play and avoid being tackled behind the line of scrimmage
3958,ground," a connection between an electrical device and a large conducting body, such as the earth (which is taken to be at zero voltage)"
3959,ground, place or put on the ground
3960,ground, hit onto the ground
3961,ground," fix firmly and stably; ""anchor the lamppost in concrete"""
3962,ground," the loose soft material that makes up a large part of the land surface; ""they dug into the earth outside the church"""
3963,ground," the part of a scene (or picture) that lies behind objects in the foreground; ""he posed her against a background of rolling hills"""
3964,blast, a very long fly ball
3965,blast, an explosion (as of dynamite)
3966,blast," make a strident sound; ""She tended to blast when speaking into a microphone"""
3967,thicken," make viscous or dense; ""thicken the sauce by adding flour"""
3968,thicken," make thick or thicker; ""Thicken the sauce""; ""inspissate the tar so that it becomes pitch"""
3969,thicken," become thick or thicker; ""The sauce thickened""; ""The egg yolk will inspissate"""
3970,poison," kill with poison; ""She poisoned her husband"""
3971,poison," kill by its poison; ""This mushrooms can poison"""
3972,poison," spoil as if by poison; ""poison someone's mind""; ""poison the atmosphere in the office"""
3973,poison," add poison to; ""Her husband poisoned her drink in order to kill her"""
3974,door," anything providing a means of access (or escape); ""we closed the door to Haitian immigrants""; ""education is the door to success"""
3975,door," a swinging or sliding barrier that will close the entrance to a room or building or vehicle; ""he knocked on the door""; ""he slammed the door as he left"""
3976,calendar, a tabular array of the days (usually for one year)
3977,calendar, a system of timekeeping that defines the beginning and length and divisions of the year
3978,philosopher, a wise person who is calm and rational; someone who lives a life of reason with equanimity
3979,philosopher, a specialist in philosophy
3980,tree, force a person or an animal into a position from which he cannot escape
3981,tree," chase an animal up a tree; ""the hunters treed the bear with dogs and killed it""; ""her dog likes to tree squirrels"""
3982,tree, English actor and theatrical producer noted for his lavish productions of Shakespeare (1853-1917)
3983,tree, a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
3984,bank, a supply or stock held in reserve for future use (especially in emergencies)
3985,bank, be in the banking business
3986,bank," do business with a bank or keep an account at a bank; ""Where do you bank in this town?"""
3987,bank," sloping land (especially the slope beside a body of water); ""they pulled the canoe up on the bank""; ""he sat on the bank of the river and watched the currents"""
3988,materialization, an appearance in bodily form (as of a disembodied spirit)
3989,materialization," the process of coming into being; becoming reality; ""the materialization of her dream"""
3990,wisecrack, witty remark
3991,wisecrack," make a comment, usually ironic"
3992,fitting, (usually plural) furnishings and equipment (especially for a ship or hotel)
3993,fitting, making or becoming suitable; adjusting to circumstances
3994,fitting, a small and often standardized accessory to a larger system
3995,leak," have an opening that allows light or substances to enter or go out; ""The container leaked gasoline""; ""the roof leaks badly"""
3996,leak," enter or escape as through a hole or crack or fissure; ""Water leaked out of the can into the backpack""; ""Gas leaked into the basement"""
3997,leak," tell anonymously; ""The news were leaked to the paper"""
